Dataset,Line,Example,Template,ClusterId,Tokens,nltk,stanza,spacy,hanta,treetagger,TagComparison,Majority
Thunderbird,8284107,protections[]: 0 0 0,protections[]: <*>,129,"['protections', '(', ')', '.', '0', '0', '0']","['NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'NUM']","['NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'NUM']","['NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'NUM']","['NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'NUM']","['NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'NUM']","TagComparison(majority=['NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'NUM'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {}, {}, {}])","['NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'NUM', 'NUM']"
Android,94979,"Client requesting input be hidden, pid=4492","Client requesting input be hidden, <*>",356,"['Client', 'requesting', 'input', 'be', 'hidden', '.', 'pid=4492']","['PROPN', 'VERB', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'NOUN']","['NOUN', 'VERB', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'PROPN']","['PROPN', 'VERB', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'X']","['NOUN', 'VERB', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'NUM']","['NOUN', 'VERB', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'NOUN']","TagComparison(majority=['PROPN', 'VERB', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'NOUN'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6], minority=[{}, {}, {}, {}, {}, {}, {'stanza': 'PROPN', 'hanta': 'NUM'}])","['PROPN', 'VERB', 'NOUN', 'AUX', 'VERB', 'PUNCT', 'NOUN']"
Thunderbird,32412371,acpid shutdown succeeded,acpid shutdown succeeded,311,"['acpid', 'shutdown', 'succeeded']","['ADJ', 'NOUN', 'VERB']","['NOUN', 'NOUN', 'VERB']","['NOUN', 'NOUN', 'VERB']","['ADJ', 'NOUN', 'VERB']","['ADJ', 'NOUN', 'VERB']","TagComparison(majority=['ADJ', 'NOUN', 'VERB'], confidence=[0.6, 1.0, 1.0], minority=[{'stanza': 'NOUN', 'spacy': 'NOUN'}, {}, {}])","['ADJ', 'NOUN', 'VERB']"
OpenSSH,205,Failed none for invalid user admin from 5.188.10.180 port 52631 ssh2,Failed none for invalid user admin from <*> port <*>,3,"['Failed', 'none', 'for', 'invalid', 'user', 'admin', 'from', '5.188.10.180', 'port', '52631', 'ssh2']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","['VERB', 'PRON', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'PROPN']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NUM']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","TagComparison(majority=['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN'], confidence=[1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6], minority=[{}, {'stanza': 'PRON'}, {}, {}, {}, {}, {}, {}, {}, {}, {'spacy': 'PROPN', 'hanta': 'NUM'}])","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']"
Android,1147858,"mAm.startProcessLocked for service: ServiceRecord{a6944c7 u0 euid: 0 com.huawei.camera/.controller.BootDaemonService}, appinfo euid: 0","mAm.startProcessLocked for service: <*> euid: <*> com.huawei.camera/.controller.BootDaemonService}, appinfo euid: <*>",1780,"['mAm.startProcessLocked', 'for', 'service', '.', 'ServiceRecord', '(', 'a6944c7', 'u0', 'euid', '.', '0', 'com.huawei.camera/.controller.BootDaemonService', ')', '.', 'appinfo', 'euid', '.', '0']","['VERB', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'PUNCT', 'ADJ', 'NOUN', 'PUNCT', 'NUM']","['NOUN', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PROPN', 'NOUN', 'PUNCT', 'NUM', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NUM']","['VERB', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'ADJ', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NUM']","['ADJ', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'NUM', 'NOUN', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'PUNCT', 'X', 'X', 'PUNCT', 'NUM']","['VERB', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NUM', 'NOUN', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NUM']","TagComparison(majority=['VERB', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NUM', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NUM'], confidence=[0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6, 0.6, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0], minority=[{'stanza': 'NOUN', 'hanta': 'ADJ'}, {}, {}, {}, {}, {}, {'stanza': 'PROPN', 'hanta': 'NUM'}, {'stanza': 'PROPN', 'hanta': 'NUM'}, {'spacy': 'ADJ'}, {}, {}, {}, {}, {}, {'nltk': 'ADJ'}, {}, {}, {}])","['VERB', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NUM', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NUM']"
Thunderbird,31735741,frequency initialized 0.000 PPM from /var/lib/ntp/drift,frequency initialized <*> PPM from /var/lib/ntp/drift,299,"['frequency', 'initialized', '0.000', 'PPM', 'from', '/var/lib/ntp/drift']","['NOUN', 'VERB', 'NUM', 'PROPN', 'ADP', 'NOUN']","['NOUN', 'VERB', 'NUM', 'NOUN', 'ADP', 'PROPN']","['NOUN', 'VERB', 'NUM', 'PROPN', 'ADP', 'PUNCT']","['NOUN', 'VERB', 'NUM', 'PROPN', 'ADP', 'NOUN']","['NOUN', 'VERB', 'NUM', 'NOUN', 'ADP', 'NOUN']","TagComparison(majority=['NOUN', 'VERB', 'NUM', 'PROPN', 'ADP', 'NOUN'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 0.6], minority=[{}, {}, {}, {}, {}, {'stanza': 'PROPN', 'spacy': 'PUNCT'}])","['NOUN', 'VERB', 'NUM', 'PROPN', 'ADP', 'NOUN']"
Android,1208190,"PrintWoker poll timeout , shutdown","PrintWoker poll timeout , shutdown",1848,"['PrintWoker', 'poll', 'timeout', '.', 'shutdown']","['PROPN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN']","['PROPN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN']","['NOUN', 'ADJ', 'NOUN', 'PUNCT', 'VERB']","['PROPN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN']","['PROPN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN']","TagComparison(majority=['PROPN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN'], confidence=[1.0, 0.8, 1.0, 1.0, 0.8], minority=[{}, {'spacy': 'ADJ'}, {}, {}, {'spacy': 'VERB'}])","['PROPN', 'NOUN', 'NOUN', 'PUNCT', 'NOUN']"
Android,1046251,"CHR APN setttings = [ApnSettingV3] CMNET, 1784, 46002, cmnet, , , , , , -1, default | supl, IP, IP, true, 0, 0, 0, false, 0, 0, 0, 0, , , false","CHR APN setttings = <*> CMNET, <*> cmnet, , , , , , <*> default | supl, IP, IP, true, <*> false, <*> , , false",1660,"['CHR', 'APN', 'setttings', '=', '(', 'ApnSettingV3', ')', 'CMNET', '.', '1784', '.', '46002', '.', 'cmnet', '.', '.', '.', '.', '.', '.', '-1', '.', 'default', '|', 'supl', '.', 'IP', '.', 'IP', '.', 'true', '.', '0', '.', '0', '.', '0', '.', 'false', '.', '0', '.', '0', '.', '0', '.', '0', '.', '.', '.', 'false']","['PROPN', 'PROPN', 'NOUN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'ADJ']","['PROPN', 'PROPN', 'NOUN', 'SYM', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'ADJ']","['PROPN', 'PROPN', 'NOUN', 'SYM', 'PUNCT', 'PROPN', 'PUNCT', 'NOUN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'X', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'PUNCT', 'X', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'ADJ']","['PROPN', 'PROPN', 'NOUN', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'ADJ']","['PROPN', 'PROPN', 'NOUN', 'SYM', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'X', 'PUNCT', 'X', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'X', 'PUNCT', 'NOUN', 'SYM', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'ADJ']","TagComparison(majority=['PROPN', 'PROPN', 'NOUN', 'SYM', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'ADJ'], confidence=[1.0, 1.0, 1.0, 0.6, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {'nltk': 'PROPN', 'hanta': 'NUM'}, {}, {'hanta': 'NUM'}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}])","['PROPN', 'PROPN', 'NOUN', 'SYM', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'ADJ', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PUNCT', 'ADJ']"
Android,13867,set idle timer: 1800000 ms,set idle timer: <*> ms,58,"['set', 'idle', 'timer', '.', '1800000', 'ms']","['VERB', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'NOUN']","['VERB', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'NOUN']","['VERB', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'NOUN']","['VERB', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'NOUN']","['VERB', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'NOUN']","TagComparison(majority=['VERB', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'NOUN'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {}, {}])","['VERB', 'ADJ', 'NOUN', 'PUNCT', 'NUM', 'NOUN']"
Android,296482,checkVisibility : true; true,checkVisibility : true; true,736,"['checkVisibility', '.', 'true', '.', 'true']","['NOUN', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ']","['NOUN', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ']","['INTJ', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ']","['NOUN', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ']","['NOUN', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ']","TagComparison(majority=['NOUN', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ'], confidence=[0.8, 1.0, 1.0, 1.0, 1.0], minority=[{'spacy': 'INTJ'}, {}, {}, {}, {}])","['NOUN', 'PUNCT', 'ADJ', 'PUNCT', 'ADJ']"
Thunderbird,2536760,"[ib_sm_discovery.c:1103]: Failed discover node test, node 5ad0000027166, port_num= 9, error code 1","<*> Failed discover node test, node <*> port_num= <*> error code <*>",57,"['(', 'ib_sm_discovery.c:1103', ')', '.', 'Failed', 'discover', 'node', 'test', '.', 'node', '5ad0000027166', '.', 'port_num=', '9', '.', 'error', 'code', '1']","['PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'VERB', 'ADV', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'NUM', 'PUNCT', 'NOUN', 'NUM', 'PUNCT', 'NOUN', 'NOUN', 'NUM']","['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NUM', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'NOUN', 'NOUN', 'NUM']","['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NUM', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'NOUN', 'NOUN', 'NUM']","['PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'VERB', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NUM', 'PUNCT', 'NOUN', 'NUM', 'PUNCT', 'NOUN', 'NOUN', 'NUM']","['PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'ADJ', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NUM', 'PUNCT', 'NOUN', 'NOUN', 'NUM']","TagComparison(majority=['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NUM', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'NOUN', 'NOUN', 'NUM'], confidence=[1.0, 1.0, 1.0, 1.0, 0.8, 0.8, 0.8, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {'treetagger': 'ADJ'}, {'nltk': 'ADV'}, {'nltk': 'ADJ'}, {}, {}, {'nltk': 'CCONJ'}, {}, {}, {}, {}, {}, {}, {}, {}])","['PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NUM', 'PUNCT', 'PROPN', 'NUM', 'PUNCT', 'NOUN', 'NOUN', 'NUM']"
Thunderbird,656774,RAMDISK driver initialized: 16 RAM disks of 16384K size 1024 blocksize,RAMDISK driver initialized: <*> RAM disks of <*> size <*> blocksize,21,"['RAMDISK', 'driver', 'initialized', '.', '16', 'RAM', 'disks', 'of', '16384K', 'size', '1024', 'blocksize']","['PROPN', 'NOUN', 'VERB', 'PUNCT', 'NUM', 'PROPN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","['NOUN', 'NOUN', 'VERB', 'PUNCT', 'NUM', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NUM', 'NOUN']","['ADJ', 'NOUN', 'VERB', 'PUNCT', 'NUM', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'NUM', 'NOUN']","['PROPN', 'NOUN', 'VERB', 'PUNCT', 'NUM', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'NUM', 'VERB']","['PROPN', 'NOUN', 'VERB', 'PUNCT', 'NUM', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'NUM', 'NOUN']","TagComparison(majority=['PROPN', 'NOUN', 'VERB', 'PUNCT', 'NUM', 'PROPN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN'], confidence=[0.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8], minority=[{'stanza': 'NOUN', 'spacy': 'ADJ'}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {'hanta': 'VERB'}])","['PROPN', 'NOUN', 'VERB', 'PUNCT', 'NUM', 'PROPN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']"
Android,152923,"HCDN_LOG: [2016/12/17-20:31:43:019]:Start,587     storage start success",HCDN_LOG: <*> storage start success,472,"['HCDN_LOG', '.', '(', '2016/12/17-20:31:43:019', ')', '.', 'Start,587', 'storage', 'start', 'success']","['PROPN', 'PUNCT', 'PUNCT', 'ADJ', 'PUNCT', 'PUNCT', 'PROPN', 'ADJ', 'NOUN', 'NOUN']","['PROPN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'NOUN']","['NOUN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'NOUN', 'VERB', 'NOUN']","['PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'PUNCT', 'PUNCT', 'PROPN', 'NOUN', 'NOUN', 'NOUN']","['PROPN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'NOUN']","TagComparison(majority=['PROPN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'NOUN', 'NOUN', 'NOUN'], confidence=[1.0, 1.0, 1.0, 0.6, 1.0, 1.0, 0.6, 0.8, 0.8, 1.0], minority=[{}, {}, {}, {'nltk': 'ADJ', 'hanta': 'NOUN'}, {}, {}, {'stanza': 'NOUN', 'treetagger': 'ADJ'}, {'nltk': 'ADJ'}, {'spacy': 'VERB'}, {}])","['PROPN', 'PUNCT', 'PUNCT', 'NUM', 'PUNCT', 'PUNCT', 'PROPN', 'NOUN', 'NOUN', 'NOUN']"
Linux,767,session closed for user cyrus,session closed for user cyrus,154,"['session', 'closed', 'for', 'user', 'cyrus']","['NOUN', 'VERB', 'ADP', 'NOUN', 'NOUN']","['NOUN', 'VERB', 'ADP', 'NOUN', 'PROPN']","['NOUN', 'VERB', 'ADP', 'PROPN', 'PROPN']","['NOUN', 'VERB', 'ADP', 'NOUN', 'PROPN']","['NOUN', 'VERB', 'ADP', 'NOUN', 'NOUN']","TagComparison(majority=['NOUN', 'VERB', 'ADP', 'PROPN', 'PROPN'], confidence=[1.0, 1.0, 1.0, 1.0, 1.0], minority=[{}, {}, {}, {}, {}])","['NOUN', 'VERB', 'ADP', 'PROPN', 'PROPN']"
OpenSSH,205,Failed none for invalid user admin from 5.188.10.180 port 52631 ssh2,Failed none for invalid user admin from <*> port <*>,3,"['Failed', 'none', 'for', 'invalid', 'user', 'admin', 'from', '5.188.10.180', 'port', '52631', 'ssh2']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","['VERB', 'PRON', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'PROPN']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NUM']","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']","TagComparison(majority=['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN'], confidence=[1.0, 0.8, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.6], minority=[{}, {'stanza': 'PRON'}, {}, {}, {}, {}, {}, {}, {}, {}, {'spacy': 'PROPN', 'hanta': 'NUM'}])","['VERB', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'NUM', 'NOUN']"
Android,1305603,has widget app: com.android.gallery3d,has widget app: <*>,1981,"['has', 'widget', 'app', '.', 'com.android.gallery3d']","['VERB', 'NOUN', 'NOUN', 'PUNCT', 'NOUN']","['VERB', 'NOUN', 'NOUN', 'PUNCT', 'PROPN']","['VERB', 'NOUN', 'NOUN', 'PUNCT', 'X']","['AUX', 'PROPN', 'PROPN', 'PUNCT', 'ADJ']","['AUX', 'NOUN', 'NOUN', 'PUNCT', 'NOUN']","TagComparison(majority=['AUX', 'PROPN', 'PROPN', 'PUNCT', 'NOUN'], confidence=[1.0, 1.0, 1.0, 1.0, 0.6], minority=[{}, {}, {}, {}, {'stanza': 'PROPN', 'hanta': 'ADJ'}])","['AUX', 'PROPN', 'PROPN', 'PUNCT', 'NOUN']"
Android,52000,getRecentTasks: topActivity=ComponentInfo{com.tencent.mm/com.tencent.mm.plugin.wallet.pay.ui.WalletPayUI},getRecentTasks: topActivity=ComponentInfo{com.tencent.mm/com.tencent.mm.plugin.wallet.pay.ui.WalletPayUI},200,"['getRecentTasks', '.', 'topActivity=ComponentInfo', '(', 'com.tencent.mm/com.tencent.mm.plugin.wallet.pay.ui.WalletPayUI', ')']","['NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT']","['NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT']","['NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'ADJ', 'PUNCT']","['NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT']","TagComparison(majority=['NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT'], confidence=[1.0, 1.0, 1.0, 1.0, 0.6, 1.0], minority=[{}, {}, {}, {}, {'nltk': 'NOUN', 'hanta': 'ADJ'}, {}])","['NOUN', 'PUNCT', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT']"
